Asset,EntryType,Direction,ATR_Pct,Range_Pct,Volatility,ADX,Trend_Bias,Trend_Quality,RSI,Hurst,Return_20,BB_Width,WinRate,Current_State,PnlPips,Result
USDJPY,CH,-1,0.2265,0.0649,0.037535,29.23,0.0075,0.9896,100.00,1.0000,0.1254,0.1355,0.0000,100.00,-0.2,0
EURUSD,CH,1,0.2330,0.1054,0.000308,33.89,-0.0046,-0.9899,0.00,1.0000,-0.1145,0.1037,0.0000,100.00,-2.9,0
EURUSD,CH,1,0.2330,0.0843,0.000485,32.05,-0.0114,-0.9671,10.62,1.0000,-0.1271,0.1632,0.0000,100.00,-1.4,0
GBPUSD,CH,1,0.2259,0.0917,0.000339,34.89,-0.0043,-0.9883,0.00,1.0000,-0.1082,0.0977,0.0000,100.00,1.6,1
GBPUSD,CH,1,0.2260,0.0636,0.000606,33.25,-0.0119,-0.9854,1.96,1.0000,-0.1486,0.1749,0.0000,100.00,7.2,1
GBPUSD,SMA,-1,0.2207,0.0736,0.000606,31.85,-0.0190,-0.5295,44.29,1.0000,-0.0606,0.1749,0.0000,100.00,-8.8,0
GBPUSD,SMA,-1,0.2206,0.0635,0.000609,33.50,-0.0145,-0.6789,50.40,1.0000,-0.0267,0.1758,0.0000,100.00,-4.1,0
GBPUSD,SMA,-1,0.2206,0.0765,0.000612,33.07,-0.0162,-0.6349,44.23,1.0000,-0.0570,0.1766,0.0000,100.00,-8.3,0
GBPUSD,SMA,-1,0.2206,0.0447,0.000606,32.67,-0.0172,-0.5430,49.32,1.0000,-0.0339,0.1749,0.0000,100.00,-5.1,0
GBPUSD,SMA,1,0.2183,0.0772,0.001488,30.59,0.0210,0.2467,45.68,1.0000,0.0181,0.4293,0.0000,100.00,-66.8,0
USDJPY,CH,1,0.1994,0.0307,0.057482,25.31,0.0434,-0.0789,42.84,1.0000,0.0135,0.2073,0.0000,100.00,-22.6,0
USDJPY,CH,1,0.1963,0.1120,0.075002,26.20,0.0211,-0.8012,32.54,1.0000,-0.2181,0.2706,0.0000,100.00,-9.3,0
USDJPY,CH,1,0.1994,0.0478,0.057344,26.58,0.0435,-0.3057,41.07,1.0000,0.0018,0.2068,0.0000,100.00,-21.3,0
USDJPY,CH,1,0.1995,0.1526,0.060215,26.58,0.0425,-0.7055,38.29,1.0000,-0.0640,0.2172,0.0000,100.00,-16.8,0
USDJPY,CH,1,0.1964,0.1084,0.087803,27.40,0.0126,-0.8464,29.34,1.0000,-0.2290,0.3168,0.0000,100.00,-4.8,0
USDJPY,CH,1,0.1989,0.2008,0.109501,28.87,-0.0109,-0.9246,29.78,1.0000,-0.3012,0.3952,0.0000,100.00,3.9,1
EURUSD,CH,1,0.2215,0.1143,0.002121,29.24,-0.0994,-0.7635,20.85,1.0000,-0.4340,0.7158,0.0000,100.00,2.6,1
EURUSD,CH,1,0.2178,0.0802,0.001326,25.02,-0.0553,-0.3773,30.94,1.0000,-0.2183,0.4469,0.0000,100.00,-23.1,0
