Date,Asset,ATR_Pct,Range_Pct,Volatility,ADX,Trend_Bias,Trend_Quality,RSI,Hurst,Return_20,BB_Width,WinRate,Current_State,smaTF,FastMA,SlowMA,smaStop_x10,adxSMA,mmiSMA,N,Factor_x100,chStop_x10,lifeTime,adxCH,mmiCH
2021-07-05,EUR/USD,0.2330,0.1054,0.000308,33.89,-0.0046,-0.9899,0.00,1.0000,-0.1145,0.1037,0.0000,100.00,4,20,50,30,25,75,30,19,50,35,24,70
2021-07-05,GBP/USD,0.2259,0.0917,0.000339,34.89,-0.0043,-0.9883,0.00,1.0000,-0.1082,0.0977,0.0000,100.00,8,30,40,19,30,70,30,19,50,35,24,70
2021-07-05,USD/JPY,0.2265,0.0649,0.037535,29.23,0.0075,0.9896,100.00,1.0000,0.1254,0.1355,0.0000,100.00,8,19,40,25,24,75,30,30,50,40,24,70
2021-07-06,USD/JPY,0.2081,0.1091,0.061623,22.10,0.0414,0.6567,45.69,1.0000,0.0415,0.2223,0.0000,100.00,8,19,40,25,24,75,30,30,50,40,24,70
2021-07-06,EUR/USD,0.1994,0.1245,0.000714,21.83,-0.0416,0.5540,74.97,1.0000,0.1137,0.2406,0.0000,100.00,4,20,50,30,25,75,30,19,50,35,24,70
2021-07-06,GBP/USD,0.2077,0.0993,0.001578,36.35,0.0042,0.8511,75.28,1.0000,0.2561,0.4553,0.0000,100.00,8,30,40,19,30,70,30,19,50,35,24,70
2021-07-07,USD/JPY,0.1994,0.1884,0.098995,35.56,-0.1031,-0.8180,28.21,1.0000,-0.3744,0.3577,0.0000,100.00,8,19,40,25,24,75,30,30,50,40,24,70
2021-07-07,EUR/USD,0.1969,0.0761,0.000612,27.46,-0.2172,-0.3270,42.86,1.0000,-0.1081,0.2071,0.0000,100.00,4,20,50,30,25,75,30,19,50,35,24,70
2021-07-07,GBP/USD,0.2356,0.1057,0.001951,28.13,-0.2269,-0.4616,44.46,1.0000,-0.2867,0.5651,0.0000,100.00,8,30,40,19,30,70,30,19,50,35,24,70
2021-07-08,USD/JPY,0.2058,0.1284,0.055385,17.25,-0.0214,-0.4777,42.30,0.6969,0.0145,0.2002,0.0000,100.00,8,19,40,25,24,75,30,30,50,40,24,70
2021-07-08,EUR/USD,0.1944,0.1144,0.000870,21.06,-0.1683,-0.6309,44.08,0.7934,-0.1937,0.2948,0.0000,100.00,4,20,50,30,25,75,30,19,50,35,24,70
2021-07-08,GBP/USD,0.2527,0.2084,0.001379,22.10,-0.1012,-0.6624,38.69,0.6082,-0.3573,0.3999,0.0000,100.00,8,30,40,19,30,70,30,19,50,35,24,70
2021-07-09,USD/JPY,0.2388,0.1247,0.150791,34.46,-0.4283,-0.4225,42.97,0.8256,-0.5917,0.5492,0.0000,100.00,8,19,40,25,24,75,30,30,50,40,24,70
2021-07-09,EUR/USD,0.1910,0.0888,0.000736,24.40,0.1706,-0.6093,45.45,0.5020,-0.1106,0.2486,0.0000,100.00,4,20,50,30,25,75,30,19,50,35,24,70
2021-07-09,GBP/USD,0.2444,0.1526,0.000993,18.59,-0.0837,0.2797,41.33,0.5396,-0.0820,0.2883,0.0000,100.00,8,30,40,19,30,70,30,19,50,35,24,70
2021-07-12,USD/JPY,0.2237,0.1244,0.075084,22.21,0.0540,0.7559,51.86,0.7699,0.2111,0.2728,0.0000,100.00,8,19,40,25,24,75,30,30,50,40,24,70
2021-07-12,EUR/USD,0.1793,0.1079,0.000653,26.99,0.1662,0.3635,51.53,0.1239,0.0590,0.2199,0.0000,100.00,4,20,50,30,25,75,30,19,50,35,24,70
2021-07-12,GBP/USD,0.2615,0.0864,0.002951,43.27,0.4122,0.8168,65.28,0.1382,0.6675,0.8507,0.0000,100.00,8,30,40,19,30,70,30,19,50,35,24,70
2021-07-13,USD/JPY,0.2050,0.1024,0.105419,12.97,0.1140,0.8449,62.32,0.3775,0.1860,0.3824,0.0000,100.00,8,19,40,25,24,75,30,30,50,40,24,70
2021-07-13,EUR/USD,0.1794,0.1021,0.000734,12.52,-0.0033,0.4251,42.72,0.5948,0.0743,0.2475,0.0000,100.00,4,20,50,30,25,75,30,19,50,35,24,70
2021-07-13,GBP/USD,0.2390,0.1059,0.001471,29.73,0.1299,0.5711,47.59,0.4473,0.1718,0.4238,0.0000,100.00,8,30,40,19,30,70,30,19,50,35,24,70
2021-07-14,USD/JPY,0.1967,0.1058,0.145402,32.33,0.1055,0.7944,63.05,0.3754,0.1802,0.5265,0.0000,100.00,8,19,40,25,24,75,30,30,50,40,24,70
2021-07-14,EUR/USD,0.2004,0.0839,0.001809,45.73,-0.3418,-0.6665,39.98,0.1006,-0.4659,0.6135,0.0000,100.00,4,20,50,30,25,75,30,19,50,35,24,70
2021-07-14,GBP/USD,0.2278,0.2102,0.001395,30.70,-0.2282,-0.2950,54.60,0.2472,-0.0700,0.4035,0.0000,100.00,8,30,40,19,30,70,30,19,50,35,24,70
2021-07-15,USD/JPY,0.1899,0.1610,0.233597,40.15,-0.1438,-0.9068,23.81,0.4177,-0.5429,0.8480,0.0000,100.00,8,19,40,25,24,75,30,30,50,40,24,70
2021-07-15,EUR/USD,0.1930,0.1166,0.000845,26.70,0.1307,0.6265,57.56,0.5366,0.3145,0.2856,0.0000,100.00,4,20,50,30,25,75,30,19,50,35,24,70
2021-07-15,GBP/USD,0.2383,0.1234,0.001531,20.92,0.0789,-0.6450,55.31,0.2849,-0.0195,0.4421,0.0000,100.00,8,30,40,19,30,70,30,19,50,35,24,70
2021-07-16,USD/JPY,0.1838,0.1529,0.100172,28.77,-0.1776,-0.0425,46.32,0.2829,-0.0082,0.3646,0.0000,100.00,8,19,40,25,24,75,30,30,50,40,24,70
2021-07-16,EUR/USD,0.1882,0.0610,0.000426,16.39,-0.0626,-0.0168,47.61,0.2897,-0.0626,0.1443,0.0000,100.00,4,20,50,30,25,75,30,19,50,35,24,70
2021-07-16,GBP/USD,0.2519,0.1882,0.001575,11.33,-0.0720,-0.5063,42.23,0.1648,-0.4196,0.4555,0.0000,100.00,8,30,40,19,30,70,30,19,50,35,24,70
2021-07-19,USD/JPY,0.1869,0.0774,0.110089,23.95,0.0983,-0.3016,39.48,0.5303,-0.0773,0.4000,0.0000,100.00,8,19,40,25,24,75,30,30,50,40,24,70
2021-07-19,EUR/USD,0.1786,0.0619,0.000481,15.50,-0.0572,-0.0312,40.37,0.3670,-0.1903,0.1630,0.0000,100.00,4,20,50,30,25,75,30,19,50,35,24,70
2021-07-19,GBP/USD,0.2481,0.0793,0.002108,15.38,-0.2774,-0.9361,34.20,0.4929,-0.5836,0.6121,0.0000,100.00,8,30,40,19,30,70,30,19,50,35,24,70
2021-07-20,USD/JPY,0.2148,0.0895,0.208149,34.02,-0.2444,-0.6827,42.10,0.5217,-0.3739,0.7598,0.0000,100.00,8,19,40,25,24,75,30,30,50,40,24,70
2021-07-20,EUR/USD,0.1917,0.0815,0.001015,13.34,-0.0419,-0.3012,37.73,0.3672,0.0161,0.3442,0.0000,100.00,4,20,50,30,25,75,30,19,50,35,24,70
2021-07-20,GBP/USD,0.2713,0.2604,0.001850,35.26,-0.4418,-0.6866,27.80,0.7035,-0.5457,0.5410,0.0000,100.00,8,30,40,19,30,70,30,19,50,35,24,70
2021-07-21,USD/JPY,0.2240,0.1000,0.180972,22.87,0.0532,0.8335,64.27,0.6222,0.4604,0.6597,0.0000,100.00,8,19,40,25,24,75,30,30,50,40,24,70
2021-07-21,EUR/USD,0.1880,0.0740,0.000684,14.61,-0.0796,-0.2421,34.95,0.6039,-0.1604,0.2323,0.0000,100.00,4,20,50,30,25,75,30,19,50,35,24,70
2021-07-21,GBP/USD,0.2764,0.1895,0.001041,37.80,-0.2743,0.0920,42.52,0.9684,-0.0235,0.3057,0.0000,100.00,8,30,40,19,30,70,30,19,50,35,24,70
2021-07-22,USD/JPY,0.1999,0.0726,0.120444,32.87,0.2616,0.7925,56.01,0.1534,0.2803,0.4372,0.0000,100.00,8,19,40,25,24,75,30,30,50,40,24,70
2021-07-22,EUR/USD,0.1802,0.0941,0.000868,14.56,0.0733,0.4902,54.46,0.4331,0.1911,0.2943,0.0000,100.00,4,20,50,30,25,75,30,19,50,35,24,70
2021-07-22,GBP/USD,0.2879,0.1922,0.002755,29.37,0.3281,0.7276,69.22,0.6969,0.9576,0.8045,0.0000,100.00,8,30,40,19,30,70,30,19,50,35,24,70
2021-07-23,USD/JPY,0.1957,0.0318,0.059229,13.21,0.0272,-0.3870,47.87,0.7072,-0.0109,0.2150,0.0000,100.00,8,19,40,25,24,75,30,30,50,40,24,70
2021-07-23,EUR/USD,0.1915,0.0968,0.001326,8.42,-0.0583,-0.5576,44.84,0.1040,-0.1688,0.4503,0.0000,100.00,4,20,50,30,25,75,30,19,50,35,24,70
2021-07-23,GBP/USD,0.2624,0.1113,0.000766,27.22,0.3321,-0.2383,48.73,0.1182,-0.0836,0.2225,0.0000,100.00,8,30,40,19,30,70,30,19,50,35,24,70
2021-07-26,USD/JPY,0.1724,0.1213,0.099762,33.39,0.1573,0.7707,51.86,0.7150,0.1632,0.3612,0.0000,100.00,8,19,40,25,24,75,30,30,50,40,24,70
2021-07-26,EUR/USD,0.1811,0.1070,0.000633,9.85,-0.0474,0.6276,48.74,0.2373,0.0272,0.2152,0.0000,100.00,4,20,50,30,25,75,30,19,50,35,24,70
